Role,Business Area,Question,Reply,Industry,EmployeeCode
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Metals Industry,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Real estate/ Facility Management,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,B2B Distribution,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Education,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Logistics,WAPL-MC-E0560
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Metals Industry,WAPL-MC-E0560
