Deal_ID,Deal_Name,Deal_Amount,Stage,Close_Date,Sales_Rep,Region
52,Deal_52,132536,Closed Won,2024-11-29,Rep_1,South
53,Deal_53,417058,Negotiation,2025-12-07,Rep_2,South
54,Deal_54,383590,Qualification,2026-05-01,Rep_3,North
55,Deal_55,340679,Negotiation,2025-05-26,Rep_4,West
56,Deal_56,341873,Qualification,2025-02-23,Rep_5,South
57,Deal_57,250350,Prospecting,2025-09-16,Rep_6,West
58,Deal_58,268117,Proposal,2024-11-22,Rep_7,West
59,Deal_59,37148,Qualification,2025-04-26,Rep_8,North
60,Deal_60,426684,Proposal,2025-12-09,Rep_9,North
61,Deal_61,84658,Closed Won,2026-07-08,Rep_0,North
62,Deal_62,61126,Closed Lost,2025-12-09,Rep_1,West
63,Deal_63,488963,Prospecting,2026-03-30,Rep_2,East
64,Deal_64,182540,Qualification,2024-12-17,Rep_3,South
65,Deal_65,229886,Proposal,2026-09-10,Rep_4,South
66,Deal_66,355440,Proposal,2026-09-02,Rep_5,North
67,Deal_67,197617,Closed Lost,2025-10-04,Rep_6,South
68,Deal_68,83570,Prospecting,2025-11-27,Rep_7,South
69,Deal_69,79397,Proposal,2026-01-29,Rep_8,South
70,Deal_70,347779,Qualification,2026-06-06,Rep_9,East
71,Deal_71,136738,Proposal,2025-06-24,Rep_0,South
72,Deal_72,263320,Prospecting,2026-04-14,Rep_1,South
73,Deal_73,274875,Negotiation,2025-07-08,Rep_2,West
74,Deal_74,234945,Negotiation,2026-03-25,Rep_3,South
75,Deal_75,324573,Closed Won,2024-10-13,Rep_4,North
76,Deal_76,451479,Prospecting,2026-07-28,Rep_5,North
77,Deal_77,166367,Closed Won,2026-08-17,Rep_6,South
78,Deal_78,438895,Proposal,2025-04-18,Rep_7,North
79,Deal_79,190291,Qualification,2026-09-19,Rep_8,East
80,Deal_80,454182,Closed Won,2025-06-18,Rep_9,South
81,Deal_81,315658,Proposal,2026-09-25,Rep_0,South
82,Deal_82,190590,Prospecting,2025-06-10,Rep_1,South
83,Deal_83,398922,Closed Lost,2026-03-18,Rep_2,North
84,Deal_84,187180,Qualification,2026-09-23,Rep_3,East
85,Deal_85,470705,Closed Won,2026-07-16,Rep_4,East
86,Deal_86,129324,Prospecting,2025-10-24,Rep_5,West
87,Deal_87,86808,Closed Won,2026-07-06,Rep_6,South
88,Deal_88,115798,Negotiation,2025-02-08,Rep_7,North
89,Deal_89,15245,Closed Lost,2024-12-29,Rep_8,East
90,Deal_90,263277,Closed Won,2026-07-05,Rep_9,East
91,Deal_91,104257,Closed Lost,2025-10-15,Rep_0,West
92,Deal_92,287343,Prospecting,2025-08-12,Rep_1,East
93,Deal_93,131682,Negotiation,2026-09-07,Rep_2,East
94,Deal_94,291239,Prospecting,2025-12-21,Rep_3,West
95,Deal_95,438747,Qualification,2026-05-13,Rep_4,East
96,Deal_96,361330,Negotiation,2025-10-03,Rep_5,North
97,Deal_97,30761,Closed Lost,2025-02-27,Rep_6,East
98,Deal_98,319158,Closed Won,2026-05-09,Rep_7,East
99,Deal_99,158177,Closed Lost,2025-06-09,Rep_8,South
100,Deal_100,421444,Closed Lost,2024-12-30,Rep_9,West
