Metric_ID,Metric_Name,Value,Category,Date,Department,Target_Value
142,Metric_142,54.83,Customer,2025-09-30,HR,128.33
143,Metric_143,126.87,Quality,2025-09-10,Sales,81.6
144,Metric_144,115.69,Customer,2025-10-02,IT,105.03
145,Metric_145,56.7,Efficiency,2025-10-06,HR,137.43
146,Metric_146,149.22,Revenue,2025-08-23,Operations,99.32
147,Metric_147,76.51,Cost,2025-09-07,HR,124.65
148,Metric_148,77.94,Cost,2025-07-31,IT,126.19
149,Metric_149,141.22,Revenue,2025-09-01,HR,100.7
150,Metric_150,82.41,Revenue,2025-09-29,Sales,103.07
151,Metric_151,125.53,Efficiency,2025-08-01,IT,76.7
152,Metric_152,140.2,Efficiency,2025-09-18,Operations,106.44
153,Metric_153,52.82,Revenue,2025-08-09,Marketing,111.71
154,Metric_154,107.84,Quality,2025-08-22,Sales,83.61
155,Metric_155,142.57,Efficiency,2025-08-09,Operations,110.87
156,Metric_156,104.42,Efficiency,2025-08-23,Operations,61.54
157,Metric_157,52.08,Revenue,2025-08-12,HR,87.83
158,Metric_158,60.7,Customer,2025-07-28,IT,70.63
159,Metric_159,137.64,Revenue,2025-08-04,Marketing,132.35
160,Metric_160,79.65,Efficiency,2025-09-14,Operations,129.74
161,Metric_161,131.92,Customer,2025-08-13,IT,129.25
162,Metric_162,119.88,Customer,2025-10-03,Marketing,90.58
163,Metric_163,134.14,Efficiency,2025-07-12,Marketing,127.6
164,Metric_164,102.43,Quality,2025-09-06,Operations,71.41
165,Metric_165,100.09,Cost,2025-08-23,IT,87.44
166,Metric_166,135.54,Cost,2025-09-16,Operations,79.78
167,Metric_167,113.75,Quality,2025-07-15,IT,62.1
168,Metric_168,114.85,Quality,2025-07-15,HR,102.08
169,Metric_169,55.27,Cost,2025-09-10,Marketing,119.33
170,Metric_170,53.63,Quality,2025-08-05,Marketing,128.29
171,Metric_171,63.94,Quality,2025-08-01,Sales,119.01
172,Metric_172,83.32,Revenue,2025-08-13,IT,107.02
173,Metric_173,129.98,Customer,2025-08-08,Operations,92.32
174,Metric_174,119.66,Quality,2025-08-19,Sales,93.51
175,Metric_175,140.26,Revenue,2025-09-15,IT,99.82
176,Metric_176,53.84,Revenue,2025-09-10,HR,68.05
177,Metric_177,103.95,Customer,2025-07-21,HR,70.36
178,Metric_178,67.39,Customer,2025-09-15,IT,119.65
179,Metric_179,140.63,Customer,2025-09-28,HR,133.65
180,Metric_180,69.7,Efficiency,2025-10-01,Operations,94.9
181,Metric_181,127.18,Customer,2025-08-14,IT,70.65
182,Metric_182,139.67,Quality,2025-09-02,Operations,65.34
183,Metric_183,104.24,Cost,2025-10-02,HR,133.77
184,Metric_184,57.29,Quality,2025-07-21,Marketing,96.75
185,Metric_185,113.82,Revenue,2025-07-12,IT,121.73
186,Metric_186,64.53,Revenue,2025-09-30,IT,130.02
187,Metric_187,134.71,Cost,2025-08-15,Operations,137.32
188,Metric_188,99.77,Revenue,2025-07-26,Marketing,84.56
189,Metric_189,118.4,Efficiency,2025-09-09,IT,93.0
190,Metric_190,72.9,Customer,2025-07-25,IT,79.23
191,Metric_191,128.01,Customer,2025-09-11,Operations,65.25
192,Metric_192,72.77,Quality,2025-07-10,Operations,101.19
193,Metric_193,78.05,Quality,2025-07-21,Marketing,80.97
194,Metric_194,60.38,Cost,2025-09-24,IT,130.95
195,Metric_195,88.8,Revenue,2025-07-29,IT,136.52
196,Metric_196,58.68,Quality,2025-09-02,IT,132.62
197,Metric_197,61.83,Revenue,2025-10-07,Operations,87.59
198,Metric_198,81.9,Efficiency,2025-08-26,Marketing,81.0
199,Metric_199,75.31,Quality,2025-08-13,IT,138.69
200,Metric_200,144.72,Quality,2025-07-27,Sales,117.79
