Employee_ID,Employee_Name,Project,Hours_Logged,Date,Task_Type,Billable
EMP056,Employee_56,Project_B,4.88,2025-09-07,Testing,No
EMP057,Employee_57,Project_C,9.18,2025-09-11,Documentation,No
EMP058,Employee_58,Project_B,5.17,2025-10-04,Testing,Yes
EMP059,Employee_59,Project_C,9.8,2025-10-03,Development,No
EMP060,Employee_60,Project_B,6.65,2025-09-15,Meetings,Yes
EMP061,Employee_61,Project_B,8.14,2025-09-22,Testing,Yes
EMP062,Employee_62,Project_A,5.42,2025-09-16,Research,No
EMP063,Employee_63,Project_C,6.91,2025-10-06,Testing,No
EMP064,Employee_64,Project_D,6.58,2025-10-07,Meetings,Yes
EMP065,Employee_65,Project_D,11.58,2025-09-15,Research,No
EMP066,Employee_66,Project_C,7.96,2025-10-03,Development,Yes
EMP067,Employee_67,Project_D,4.55,2025-09-17,Development,No
EMP068,Employee_68,Project_D,4.16,2025-09-19,Meetings,No
EMP069,Employee_69,Project_C,7.32,2025-09-12,Research,No
EMP070,Employee_70,Project_A,4.34,2025-09-26,Documentation,Yes
EMP071,Employee_71,Project_B,8.4,2025-09-10,Meetings,No
EMP072,Employee_72,Project_B,5.05,2025-10-06,Meetings,No
EMP073,Employee_73,Project_A,8.9,2025-09-20,Development,No
EMP074,Employee_74,Project_E,11.56,2025-09-11,Meetings,Yes
EMP075,Employee_75,Project_C,7.73,2025-10-01,Development,No
EMP076,Employee_76,Project_B,10.19,2025-09-12,Research,Yes
EMP077,Employee_77,Project_A,7.95,2025-09-20,Documentation,Yes
EMP078,Employee_78,Project_D,5.88,2025-09-24,Meetings,No
EMP079,Employee_79,Project_D,6.96,2025-09-08,Documentation,Yes
EMP080,Employee_80,Project_E,7.02,2025-09-13,Meetings,Yes
EMP081,Employee_81,Project_C,9.24,2025-09-22,Meetings,Yes
EMP082,Employee_82,Project_B,5.95,2025-10-03,Development,No
EMP083,Employee_83,Project_D,10.94,2025-09-21,Documentation,No
EMP084,Employee_84,Project_D,4.83,2025-09-25,Development,Yes
EMP085,Employee_85,Project_C,4.04,2025-09-20,Documentation,Yes
EMP086,Employee_86,Project_E,6.95,2025-10-03,Meetings,Yes
EMP087,Employee_87,Project_B,7.98,2025-09-17,Testing,Yes
EMP088,Employee_88,Project_C,7.45,2025-09-07,Development,No
EMP089,Employee_89,Project_C,5.03,2025-09-10,Research,Yes
EMP090,Employee_90,Project_B,5.38,2025-09-25,Documentation,No
EMP091,Employee_91,Project_A,4.68,2025-10-07,Testing,No
EMP092,Employee_92,Project_D,4.87,2025-09-26,Documentation,Yes
EMP093,Employee_93,Project_E,4.04,2025-09-15,Development,No
EMP094,Employee_94,Project_D,8.83,2025-09-30,Research,No
EMP095,Employee_95,Project_E,9.83,2025-09-18,Development,Yes
EMP096,Employee_96,Project_E,5.36,2025-10-02,Development,Yes
EMP097,Employee_97,Project_B,6.37,2025-09-25,Documentation,No
EMP098,Employee_98,Project_A,9.23,2025-09-29,Research,No
EMP099,Employee_99,Project_E,7.1,2025-09-21,Meetings,No
EMP100,Employee_100,Project_E,8.91,2025-09-10,Development,Yes
EMP101,Employee_101,Project_D,10.98,2025-09-21,Research,No
EMP102,Employee_102,Project_C,11.08,2025-10-07,Testing,No
EMP103,Employee_103,Project_A,5.54,2025-09-25,Testing,Yes
EMP104,Employee_104,Project_C,5.51,2025-10-02,Meetings,No
EMP105,Employee_105,Project_D,7.93,2025-10-02,Testing,No
EMP106,Employee_106,Project_C,5.66,2025-09-20,Meetings,No
EMP107,Employee_107,Project_A,6.55,2025-09-09,Research,Yes
EMP108,Employee_108,Project_B,4.79,2025-09-09,Research,Yes
EMP109,Employee_109,Project_C,8.93,2025-09-28,Meetings,Yes
EMP110,Employee_110,Project_C,6.74,2025-10-01,Testing,Yes
EMP111,Employee_111,Project_B,9.28,2025-09-26,Meetings,No
EMP112,Employee_112,Project_D,11.98,2025-09-30,Testing,Yes
EMP113,Employee_113,Project_D,4.52,2025-09-11,Research,No
EMP114,Employee_114,Project_E,10.22,2025-09-13,Meetings,Yes
EMP115,Employee_115,Project_B,6.88,2025-09-07,Development,Yes
EMP116,Employee_116,Project_E,7.59,2025-09-08,Documentation,Yes
EMP117,Employee_117,Project_C,11.12,2025-09-29,Research,No
EMP118,Employee_118,Project_A,10.03,2025-09-11,Testing,No
EMP119,Employee_119,Project_B,10.48,2025-09-23,Testing,No
EMP120,Employee_120,Project_E,6.19,2025-10-01,Development,Yes
EMP121,Employee_121,Project_E,4.65,2025-09-28,Research,Yes
EMP122,Employee_122,Project_A,5.56,2025-10-06,Testing,No
EMP123,Employee_123,Project_B,10.66,2025-10-06,Documentation,No
EMP124,Employee_124,Project_A,11.55,2025-09-08,Development,No
EMP125,Employee_125,Project_B,10.85,2025-09-27,Research,Yes
EMP126,Employee_126,Project_A,8.29,2025-09-22,Documentation,Yes
EMP127,Employee_127,Project_C,9.62,2025-09-07,Meetings,Yes
EMP128,Employee_128,Project_B,9.69,2025-09-17,Development,No
EMP129,Employee_129,Project_E,8.81,2025-09-12,Documentation,Yes
EMP130,Employee_130,Project_C,10.13,2025-09-18,Research,No
EMP131,Employee_131,Project_C,11.28,2025-09-21,Research,No
EMP132,Employee_132,Project_C,6.26,2025-09-07,Documentation,Yes
EMP133,Employee_133,Project_E,6.88,2025-09-16,Development,No
EMP134,Employee_134,Project_C,5.64,2025-09-23,Testing,No
EMP135,Employee_135,Project_A,11.84,2025-09-13,Documentation,Yes
EMP136,Employee_136,Project_A,11.46,2025-09-14,Meetings,Yes
EMP137,Employee_137,Project_A,5.76,2025-09-13,Meetings,Yes
EMP138,Employee_138,Project_D,7.97,2025-09-11,Documentation,Yes
EMP139,Employee_139,Project_C,9.65,2025-09-14,Research,Yes
EMP140,Employee_140,Project_C,4.23,2025-10-05,Development,Yes
EMP141,Employee_141,Project_B,4.34,2025-09-10,Testing,Yes
EMP142,Employee_142,Project_B,10.84,2025-09-28,Research,Yes
EMP143,Employee_143,Project_D,9.88,2025-09-20,Research,No
EMP144,Employee_144,Project_C,11.96,2025-10-03,Research,No
EMP145,Employee_145,Project_D,9.45,2025-09-19,Research,No
EMP146,Employee_146,Project_B,8.72,2025-10-07,Testing,No
EMP147,Employee_147,Project_B,9.28,2025-09-14,Research,Yes
EMP148,Employee_148,Project_A,10.53,2025-09-18,Meetings,Yes
EMP149,Employee_149,Project_A,10.46,2025-09-11,Documentation,Yes
EMP150,Employee_150,Project_B,8.37,2025-09-23,Research,No
